Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0035,14.89,4.05,18.89,3.99,18.83,PASS,PASS,5.29,22.03,7.41,22.02,7.43,10003.75,48.73,10041.42,48.88,31421.84,57.86,31421.84,45.05,49.96203,50.03703,PASSED,PASSED,FAILED,FAILED,1015.2,1008.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0035,14.9,4.01,18.95,3.97,18.76,PASS,PASS,5.3,22.03,7.41,22.01,7.43,10005,48.8,10041.42,48.94,31434.18,57.45,31434.18,48.68,49.9291,49.91913,PASSED,PASSED,PASSED,PASSED,988.8,995.2,PASS,
ZJ2404122-001-0036,14.89,3.97,18.8,3.94,18.65,PASS,PASS,5.32,22.03,7.43,22,7.44,10006.25,48.71,10041.42,48.89,31397.17,57.14,31397.17,48.35,49.96602,49.9291,PASSED,PASSED,PASSED,PASSED,1003.2,1344,PASS,
ZJ2404122-001-0037,14.9,3.93,18.79,3.85,18.42,PASS,PASS,5.31,22.04,7.43,22.03,7.44,10002.5,48.7,10041.42,48.89,31421.84,57.11,31421.84,48.51,49.92511,50.01299,PASSED,PASSED,PASSED,PASSED,1001.6,976,PASS,
ZJ2404122-001-0038,14.89,4.04,18.79,4.03,18.68,PASS,PASS,5.32,22.04,7.43,22.01,7.43,10007.51,48.75,10041.42,48.86,31409.5,57.48,31409.5,49.35,49.97301,50.015,PASSED,PASSED,PASSED,PASSED,1018.2,1353.6,PASS,
ZJ2404122-001-0039,14.92,3.98,18.8,3.85,18.88,PASS,PASS,5.3,22.04,7.43,22.01,7.44,10002.5,48.75,10041.42,48.88,31409.5,57.09,31409.5,48.21,49.97301,50.05005,PASSED,PASSED,PASSED,PASSED,1000,1002.4,PASS,
ZJ2404122-001-0040,14.89,4.01,18.68,3.84,18.81,PASS,PASS,5.31,22.04,7.43,22,7.44,10002.5,18.88,10041.42,48.85,31323.41,58.22,31323.41,43.19,49.93708,49.94606,PASSED,PASSED,PASSED,PASSED,1033.6,1020,FAIL,Failed TestCH1Frequency,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0040,14.9,4.01,18.73,3.9,18.86,PASS,PASS,5.31,22.04,7.45,21.99,7.44,10002.5,48.7,10041.42,48.89,31323.41,58.22,31323.41,49.33,49.96802,49.95456,PASSING,PASSED,PASSED,PASSED,1020,1000,PASS,
ZJ2404122-001-0041,14.89,4.07,18.71,3.91,18.67,PASS,PASS,5.29,22.03,7.42,22.01,7.47,10001.25,48.69,10041.42,48.9,31360.25,57.11,31360.25,48.53,49.97202,50.03402,PASSING,PASSED,FAILED,FAILED,1016.8,974.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0041,14.89,4.01,18.73,3.89,18.72,PASS,PASS,5.28,22.04,7.42,22.02,7.44,10001.25,48.69,10041.42,48.89,31360.25,57.47,31360.25,47.71,50.0422,49.998,PASSED,PASSED,PASSED,PASSED,1029.8,1370.4,PASS,
