Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0197,14.89,2.22,18.8,4.08,18.83,PASS,PASS,5.29,22.05,7.41,24.46,7.93,10005,48.8,10041.42,50.41,31397.17,3.53,31397.17,57.06,49.99217,50.04304,FAILED,PASSED,FAILED,FAILED,9.91E+46,1355.2,FAIL,Failed CheckCH2OnOffVoltage Test,Failed GenerateHiSideDSATFault Test,Failed GenerateLoSideDSATFault Test,Failed TestCH2PosUnregVoltage,Failed TestTempraturePWMFreq,Failed TestDCLinkPWMFreq,Failed Lo Side Augmented Switching Test , Failed Lo Side DSAT Test , Failed High Side DSAT Test , Failed Low Side Deadtime Test , 
ZJ2404122-001-0198,14.89,2.24,18.74,4.11,18.66,PASS,FAIL,5.3,22.09,7.42,24.46,8.02,10003.75,48.76,10041.42,50.42,31421.84,3.53,31421.84,45.68,49.92029,49.98001,FAILED,PASSED,FAILED,FAILED,9.91E+46,1355.2,FAIL,Failed GenerateLoSideDSATFault Test,Failed GenerateHiSideDSATFault Test,Failed CheckCH2OnOffVoltage Test,Failed OVLO Test,Failed GenerateHiSideDSATFault Test,Failed at Clear Hi Side DSAT Fault Test,Failed TestCH2PosUnregVoltage,Failed TestCH2NegUnregVoltage,Failed TestTempraturePWMFreq,Failed Lo Side Augmented Switching Test , Failed Lo Side DSAT Test , Failed High Side DSAT Test , Failed Low Side Deadtime Test , 
ZJ2404122-001-0198,14.89,4.01,18.67,3.71,18.84,PASS,PASS,5.31,22.04,7.41,22.03,7.43,10003.75,48.74,10041.42,48.9,31434.18,59.41,31421.84,50.75,49.989,50.03102,PASSED,PASSED,PASSED,PASSED,1019.2,1376.8,PASS,
ZJ2404122-001-0197,14.89,4.06,18.72,4,18.88,PASS,PASS,5.32,22.03,7.42,22.01,7.43,10003.75,48.72,10041.42,48.89,31421.84,57.46,31421.84,51.41,50.02401,49.94155,PASSED,PASSED,PASSED,PASSED,993.8,1328,FAIL,
ZJ2404122-001-0199,14.88,3.93,18.75,3.84,18.74,PASS,PASS,5.28,22.04,7.42,22,7.43,10005,48.74,10041.42,48.9,31372.55,57.45,31360.25,43.79,50.02201,49.96702,PASSED,PASSED,PASSED,PASSED,1004,989.6,FAIL,Failed GenerateHiSideDSATFault Test,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0199,14.91,3.95,18.77,3.85,18.75,PASS,PASS,5.29,22.04,7.42,22,7.42,10002.5,48.69,10041.42,48.89,31372.55,57.1,31372.55,45.69,50.03002,50.02802,PASSED,PASSED,FAILED,FAILED,1029,1342.4,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0199,14.89,3.96,18.73,3.89,18.77,PASS,PASS,5.28,22.04,7.44,22,7.43,9998.75,48.68,10041.42,48.91,31360.25,57.04,31360.25,50.41,50.0085,50.02101,PASSED,PASSED,PASSED,PASSED,1010.6,1332.8,PASS,
ZJ2404122-001-0200,14.89,3.98,18.71,3.84,18.8,PASS,PASS,5.29,22.04,7.42,22.01,7.43,10006.25,48.71,10041.42,48.88,31421.84,57.07,31409.5,48.92,50.08013,49.95105,PASSED,PASSED,PASSED,PASSED,1007.2,1370.4,PASS,
ZJ2404122-001-0201,14.91,3.97,18.71,3.83,18.69,PASS,PASS,5.27,22.03,7.42,21.99,7.42,10006.25,48.76,10041.42,48.89,31421.84,57.89,31421.84,51.14,50.00717,50.02701,PASSED,PASSED,PASSED,PASSED,1012,1346.4,PASS,
ZJ2404122-001-0202,14.89,4.03,18.72,3.91,18.83,PASS,PASS,5.29,22.04,7.41,22.02,7.48,10005,48.74,10041.42,48.9,31372.55,58.63,31372.55,52.08,49.94406,49.94406,PASSING,PASSED,PASSED,PASSED,1027.2,1345.6,PASS,
ZJ2404122-001-0203,14.88,3.96,18.74,3.79,18.93,PASS,PASS,5.3,22.04,7.42,22.01,7.43,10005,48.7,10041.42,48.9,31409.5,57.48,31409.5,45.66,49.95886,49.988,PASSED,PASSED,PASSED,PASSED,1025.6,1372,PASS,
ZJ2404122-001-0204,14.9,3.95,18.65,3.49,18.69,PASS,PASS,5.29,22.04,7.4,22.02,7.43,10002.5,48.72,10041.42,48.88,31360.25,57.82,31360.25,48.37,50.05907,49.992,PASSING,PASSED,PASSED,PASSED,1010.4,1338.4,FAIL,Failed CheckCH1OnOffVoltage Test,
ZJ2404122-001-0204,14.9,3.98,18.72,3.77,18.68,PASS,PASS,5.29,22.03,7.43,22.03,7.44,10005,48.71,10041.42,48.9,31384.86,58.26,31384.86,47.51,49.998,49.993,PASSED,PASSED,PASSED,PASSED,1012,1334.4,PASS,
ZJ2404122-001-0205,14.89,3.96,18.77,3.91,19,PASS,PASS,5.29,22.04,7.43,22.02,7.43,10002.5,48.72,10041.42,48.9,31421.84,57.86,31434.18,49.47,50.04704,49.96203,PASSING,PASSED,PASSED,PASSED,1012.8,1373.6,PASS,
ZJ2404122-001-0206,14.89,4.02,18.63,3.85,18.77,PASS,PASS,5.29,22.03,7.42,22.02,7.43,10002.5,48.71,10041.42,48.93,31471.28,57.47,31471.28,50.55,50.013,49.98401,PASSED,PASSED,PASSED,PASSED,1002.4,1377.6,PASS,
ZJ2404122-001-0207,14.89,4.04,18.97,3.91,18.78,PASS,PASS,5.28,22.04,7.41,22.03,7.42,10003.75,48.77,10041.42,48.86,31372.55,57.84,31372.55,46.71,50.005,50.04704,PASSED,PASSED,PASSED,PASSED,1001.6,1348,FAIL,
ZJ2404122-001-0208,14.9,3.95,18.73,3.88,18.75,PASS,PASS,5.31,22.05,7.42,22.03,7.43,10002.5,48.7,10041.42,48.89,31421.84,57.82,31434.18,49.94,50.01334,50.04103,PASSED,PASSED,PASSED,PASSED,984.8,1008.8,PASS,Failed at Clear Hi Side DSAT Fault Test,
ZJ2404122-001-0209,14.89,4.1,18.82,3.94,18.97,PASS,PASS,5.31,22.04,7.41,22,7.43,10005,48.77,10041.42,48.91,31384.86,57.47,31384.86,51.82,50.02401,50.03302,PASSED,PASSED,PASSED,PASSED,1024,1321.6,PASS,
ZJ2404122-001-0210,14.88,4.04,18.75,3.87,18.9,PASS,PASS,5.3,22.04,7.45,22.02,7.42,10002.5,48.72,10041.42,48.9,31323.41,58.26,31323.41,48.47,49.97401,50.01901,PASSED,PASSED,PASSED,PASSED,1008,1006.4,PASS,
ZJ2404122-001-0210,14.9,4.05,18.81,3.84,18.95,PASS,PASS,5.3,22.04,7.43,22.02,7.42,10002.5,48.7,10041.42,48.89,31298.9,57.86,31298.9,48.4,50.07511,49.97202,PASSED,PASSED,PASSED,PASSED,1040,970.4,PASS,
ZJ2404122-001-0211,14.89,4.01,18.79,4.04,18.8,PASS,PASS,5.31,22.04,7.42,22.01,7.43,10005,48.74,10041.42,48.86,31335.68,57.07,31335.68,48.65,49.985,49.95108,PASSING,PASSED,PASSED,PASSED,984,1004,PASS,
ZJ2404122-001-0212,14.89,3.99,18.86,3.74,18.66,PASS,PASS,5.31,22.04,7.41,22.01,7.45,10003.75,48.72,10041.42,48.89,31347.96,57.84,31347.96,51.41,50.02301,50.01997,PASSED,PASSED,PASSED,PASSED,1004,1356.8,PASS,
ZJ2404122-001-0213,14.89,3.98,18.73,4.03,18.91,PASS,PASS,5.29,22.04,7.41,22.01,7.43,10005,48.71,10041.42,48.89,31421.84,57.5,31421.84,47.56,49.95504,50.01897,PASSING,PASSED,PASSED,PASSED,1003.2,1343.2,PASS,
