Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0138,14.9,3.93,18.7,3.96,18.7,PASS,PASS,5.29,22.06,7.43,22.02,7.43,10005,48.67,10041.42,48.9,31471.28,57.47,31471.28,44.26,50,50.03903,PASSED,PASSED,PASSED,PASSED,1000.8,952,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0138,14.89,3.94,18.73,4,18.72,PASS,PASS,5.29,22.06,7.43,22.02,7.43,10001.25,48.67,10041.42,48.91,31471.28,57.08,31471.28,48.39,50.08816,49.97198,PASSING,PASSED,PASSED,PASSED,1000,990.4,FAIL,
ZJ2404122-001-0139,14.9,4.05,18.65,3.96,18.77,PASS,PASS,5.3,22.04,7.4,22.01,7.47,10003.75,48.72,10041.42,48.89,11418.78,99.99,31421.84,46.27,49.97301,49.97301,PASSING,PASSED,PASSED,PASSED,1004.2,1008.8,FAIL,Failed GenerateHiSideDSATFault Test,Failed TestTempraturePWMFreq,
ZJ2404122-001-0139,14.9,4.05,18.65,3.99,18.83,PASS,PASS,5.3,22.04,7.41,22.02,7.43,10005,48.72,10041.42,48.9,31397.17,57.81,31397.17,49.61,49.97102,50.01801,PASSED,PASSED,PASSED,PASSED,1008,984.8,PASS,
ZJ2404122-001-0140,14.89,3.97,18.82,3.36,18.75,PASS,PASS,5.31,22.04,7.41,22.02,7.42,10003.75,48.76,10041.42,48.91,31384.86,57.87,31397.17,49.1,50.04103,49.99152,PASSING,PASSED,PASSED,PASSED,994.4,1004.8,FAIL,Failed CheckCH1OnOffVoltage Test,
ZJ2404122-001-0140,14.89,3.98,18.84,3.71,18.73,PASS,PASS,5.3,22.04,7.41,22.01,7.44,10003.75,48.73,10041.42,48.9,31384.86,56.69,31384.86,47.63,50.03803,49.94306,PASSED,PASSED,PASSED,PASSED,1032.2,981.6,PASS,
ZJ2404122-001-0141,14.89,4.02,18.91,4,18.87,PASS,PASS,5.29,22.05,7.42,22.02,7.45,10003.75,48.69,10041.42,48.89,31409.5,57.09,31397.17,54.43,49.97202,50.004,PASSED,PASSED,PASSED,PASSED,1011,989.6,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0141,14.9,4.03,18.95,3.95,18.92,PASS,PASS,5.3,22.05,7.41,22.01,7.48,10005,48.72,10041.42,48.9,31397.17,57.06,31397.17,50.63,49.96602,50.008,PASSED,PASSED,PASSED,PASSED,995,1004,FAIL,
ZJ2404122-001-0142,14.89,3.96,18.82,3.96,18.8,PASS,PASS,5.3,22.04,7.4,22.01,7.43,10001.25,48.71,10041.42,48.9,31421.84,57.46,31421.84,58.44,50.006,50.008,PASSED,PASSED,PASSED,PASSED,1016.8,985,FAIL,Failed GenerateHiSideDSATFault Test,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0142,14.88,3.96,18.87,4.02,18.88,PASS,PASS,5.3,22.04,7.42,22,7.46,10002.5,48.72,10041.42,48.93,31409.5,57.48,31409.5,48.49,49.992,49.988,PASSED,PASSED,PASSED,PASSED,1007,986.4,PASS,
