Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0293,14.9,3.94,18.82,3.89,18.75,PASS,PASS,5.27,22.07,7.43,22.04,7.42,10003.75,48.72,10041.42,48.91,31434.18,57.09,31434.18,44.56,49.94406,49.97501,PASSING,PASSED,PASSED,PASSED,1025.6,1357.6,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0293,14.89,3.95,18.84,3.91,18.74,PASS,PASS,5.29,22.06,7.41,22.04,7.47,10003.75,48.74,10041.42,48.94,31421.84,57.46,31421.84,49.18,49.95105,49.95304,PASSING,PASSED,PASSED,PASSED,1001.6,1327.2,PASS,
ZJ2404122-001-0294,14.9,4.06,18.68,3.73,18.76,PASS,PASS,5.3,22.05,7.44,22.03,7.42,10002.5,48.7,10041.42,48.86,31372.55,59.06,31372.55,48.39,50.02301,49.995,PASSED,PASSED,PASSED,PASSED,1013.6,1352.8,PASS,
ZJ2404122-001-0295,14.89,4.09,18.77,3.89,18.85,PASS,PASS,5.28,22.04,7.42,22.02,7.47,10001.25,48.71,10041.42,48.89,31274.43,57.43,31274.43,51.68,50.01601,50.015,PASSING,PASSED,PASSED,PASSED,1030.4,1371.2,PASS,
ZJ2404122-001-0296,14.89,4.01,18.75,3.75,18.76,PASS,PASS,5.27,22.05,7.42,22.03,7.43,10003.75,48.74,10041.42,48.91,31372.55,57.1,31372.55,45.1,50.01234,50.00752,PASSING,PASSED,PASSED,PASSED,1008.8,1336.8,FAIL,
ZJ2404122-001-0297,14.89,4.08,18.83,3.92,18.89,PASS,PASS,5.31,22.04,7.45,22,7.45,10003.75,48.72,10041.42,48.88,31471.28,57.44,31471.28,49.25,50.02701,50.03202,PASSING,PASSED,PASSED,PASSED,1019,985.6,PASS,Failed GenerateHiSideDSATFault Test,
ZJ2404122-001-0298,14.9,3.99,18.81,3.9,18.71,PASS,PASS,5.27,22.04,7.41,22.02,7.43,10003.75,48.72,10041.42,48.9,31421.84,51.96,31421.84,47.17,50.04455,50.03454,PASSED,PASSED,PASSED,PASSED,996.6,988,FAIL,Failed TestTempraturePWMFreq,
ZJ2404122-001-0298,14.88,4,18.79,3.91,18.74,PASS,PASS,5.27,22.04,7.41,22.02,7.43,10002.5,48.72,10041.42,48.88,31421.84,55.93,31421.84,45.29,50.02902,50.01,PASSING,PASSED,PASSED,PASSED,981.8,996,PASS,
ZJ2404122-001-0299,14.89,4.06,18.73,3.92,18.76,PASS,PASS,5.3,22.04,7.41,22.01,7.42,10002.5,48.74,10041.42,48.86,31421.84,57.07,31421.84,43.91,50.01502,50.01297,PASSING,PASSED,PASSED,PASSED,988.8,1012,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0299,14.89,4.13,18.79,3.87,18.79,PASS,PASS,5.31,22.04,7.44,22.02,7.48,10002.5,48.71,10041.42,48.89,31434.18,57.05,31434.18,48.88,49.91016,49.94902,PASSING,PASSED,PASSED,PASSED,1007.2,979.2,PASS,
ZJ2404122-001-0300,14.89,3.95,18.68,3.9,18.82,PASS,PASS,5.29,22.03,7.42,22.02,7.48,10003.75,48.76,10041.42,48.89,31421.84,57.07,31434.18,48.21,50.02701,49.97202,PASSED,PASSED,PASSED,PASSED,1020.6,972,PASS,
ZJ2404122-001-0301,14.89,3.97,18.73,3.88,18.8,PASS,PASS,5.31,22.04,7.44,22.01,7.46,10005,48.7,10041.42,48.88,31347.96,59.76,31360.25,49.2,50.002,50.006,PASSED,PASSED,PASSED,PASSED,1000.6,980,PASS,
ZJ2404122-001-0302,14.89,4.12,18.8,3.84,18.88,PASS,PASS,5.31,22.04,7.42,22,7.43,10003.75,48.72,10041.42,48.9,31360.25,58.64,31360.25,47.9,50.011,50.02401,PASSED,PASSED,PASSED,PASSED,984.2,1004.8,PASS,
ZJ2404122-001-0303,14.9,3.95,18.65,3.95,18.66,PASS,PASS,5.31,22.04,7.43,22,7.42,10005,48.71,10041.42,48.91,31372.55,57.88,31372.55,52.43,50.02802,49.98704,PASSED,PASSED,PASSED,PASSED,1024.2,1359.2,PASS,
ZJ2404122-001-0304,14.89,4.1,18.74,3.89,18.72,PASS,PASS,5.31,22.03,7.42,22.01,7.43,10000,48.69,10041.42,48.89,31409.5,55.87,31409.5,48.06,49.99067,50.05606,PASSED,PASSED,PASSED,PASSED,1014.4,980,PASS,
ZJ2404122-001-0305,14.9,3.93,18.6,3.91,18.77,PASS,PASS,5.32,22.04,7.42,22,7.43,10000,48.68,10041.42,48.88,31372.55,57.88,31372.55,47.33,49.98101,50.05005,PASSING,PASSED,FAILED,FAILED,996,1363.2,FAIL,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
ZJ2404122-001-0305,14.89,3.93,18.63,3.94,18.76,PASS,PASS,5.31,22.04,7.44,22.01,7.44,10005,48.69,10041.42,48.9,31372.55,57.84,31372.55,52.12,50.011,50.01104,PASSED,PASSED,PASSED,PASSED,988,1335.2,PASS,
ZJ2404122-001-0306,14.9,4.04,18.66,3.94,18.68,PASS,PASS,5.29,22.03,7.41,22.02,7.44,10003.75,48.73,10041.42,48.86,31421.84,57.03,31421.84,49.25,49.97401,49.99553,PASSED,PASSED,PASSED,PASSED,1023.2,1000.8,PASS,
ZJ2404122-001-0307,14.9,3.95,18.73,3.92,18.83,PASS,PASS,5.29,22.05,7.42,22.01,7.42,10001.25,48.68,10041.42,48.9,31446.54,20.32,31434.18,52.02,50.05907,49.989,PASSED,PASSED,FAILED,FAILED,1003.8,1012,FAIL,Failed TestTempraturePWMFreq,Failed Lo Side DSAT Test , Failed High Side DSAT Test , 
